"name","name_on_ukrainian_wikipedia","administrative_division","popu_lation_2022_esti_mates_1","popu_lation_2001_census_7","popu_lationchange","full_name","lat","long"
"Yalta","Ялта","Crimea",76746,81654,-6.01,"Yalta, Ukraine",44.502352,34.1571576
"Yany Kapu","Яни Капу","Crimea",26268,31023,-15.33,"Yany Kapu, Ukraine",45.95547,33.79261
"Yevpatoria","Євпаторія","Crimea",105719,105915,-0.19,"Yevpatoria, Ukraine",45.3157,33.32688
"Dnipro","Дніпро","Dnipropetrovsk",968502,1080846,-10.39,"Dnipro, Ukraine",46.4975,32.30861
"Kamianske","Кам'янське","Dnipropetrovsk",226845,255841,-11.33,"Kamianske, Ukraine",48.51716,34.60617
"Kryvyi Rih","Кривий Ріг","Dnipropetrovsk",603904,709014,-14.82,"Kryvyi Rih, Ukraine",47.934343,33.434202
"Marhanets","Марганець","Dnipropetrovsk",44980,49592,-9.3,"Marhanets, Ukraine",47.66319,34.6033474
"Nikopol","Нікополь","Dnipropetrovsk",105160,136280,-22.84,"Nikopol, Ukraine",47.5797052,34.3744743
"Pavlohrad","Павлоград","Dnipropetrovsk",101430,118816,-14.63,"Pavlohrad, Ukraine",48.5407015,35.8735718
"Pokrov","Покров","Dnipropetrovsk",37493,44834,-16.37,"Pokrov, Ukraine",47.6608787,34.0778343
"Samar","Самар","Dnipropetrovsk",69855,72439,-3.57,"Samar, Ukraine",48.6393286,35.2614192
"Shakhtarske","Шахтарське","Dnipropetrovsk",27099,29140,-7,"Shakhtarske, Ukraine",50.727444,24.132327
"Synelnykove","Синельникове","Dnipropetrovsk",29651,32302,-8.21,"Synelnykove, Ukraine",48.3195536,35.5229132
